eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Nl_9,Nl_10,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Yl_9,Yl_10,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8,Vl_9,Vl_10
0.001,0.08385181295889682,47749813,2339397.006530647,13.750116355,1124005,289138,48442,7917,1360,236,35,7,nan,nan,nan,0.0829803053091298,0.01101615506763443,-0.002828667558674383,-0.003218679206861813,-0.001961644906762453,-0.001830905140607018,-0.0005169689962209933,0.0002122183912592434,nan,nan,nan,0.01376438260922702,0.007302276444385983,0.001655604356960472,0.0003541626722498676,7.981664254093244e-05,1.95044671234567e-05,3.25631590531352e-06,4.880362755592787e-07,nan,nan,nan
0.001,0.08480370763504855,25164247,1560815.293986715,7.061564084,834007,216304,36738,6012,920,169,30,nan,nan,nan,nan,0.08292376451332747,0.01122465326349664,-0.002904440312352068,-0.003458283195081397,-0.001854279773297424,-0.0007993857345814137,-0.0003283211264632596,nan,nan,nan,nan,0.01381116367857012,0.007438745064201539,0.001694256742785777,0.0003549690546205649,7.726906337823046e-05,1.769246437361318e-05,2.604892794535779e-06,nan,nan,nan,nan
0.001,0.08397597665830012,25776957,1865420.574555244,7.246982408,838621,217900,36768,5939,970,174,31,nan,nan,nan,nan,0.08297838941860744,0.01088835344214311,-0.002996815713570735,-0.003286339218885482,-0.002237069182826674,-0.001323742121958776,-4.679996520875961e-05,nan,nan,nan,nan,0.01371595674061327,0.007392953185326052,0.001690756167954503,0.0003616025019131915,7.15122383666192e-05,1.992878198651447e-05,3.113257944203042e-06,nan,nan,nan,nan
0.001,0.08401481430979761,58870122,2668587.190098531,16.935441162,1270058,328056,55770,8939,1593,246,51,9,nan,nan,nan,0.08302550537654838,0.01115674635088063,-0.002766188311616031,-0.003517972184169622,-0.002472814450519573,-0.001438265021953299,-0.0003112979603180803,0.0003391005109451928,nan,nan,nan,0.01376681481345736,0.007358359032783777,0.001679182980086226,0.0003434436827347577,8.455188293411553e-05,1.53839088482673e-05,4.657106795773145e-06,5.567107034954762e-07,nan,nan,nan
0.001,0.08337142927653338,41426374,2852000.172374641,11.811196276,1041342,268033,45264,7287,1174,202,29,6,nan,nan,nan,0.08304202037985624,0.01097957691103575,-0.002804290573351452,-0.003035987692084826,-0.001949097577195775,-0.00167144562252354,-0.0008235804575189399,-0.0003657660916840787,nan,nan,nan,0.013833679328259,0.007338204252931138,0.001665671471844706,0.0003504967305109398,7.364160356847998e-05,1.715132332275552e-05,2.746063631307891e-06,5.949736355712936e-07,nan,nan,nan
0.0005,0.08378834517301524,207615565,21763168.42461536,59.629640675,4748341,1227843,206760,33675,5538,949,167,31,nan,nan,nan,0.08295020257043678,0.01094816966760234,-0.002692034477204948,-0.003544238067197167,-0.002102623165413034,-0.001273510387081348,-0.0002891823009920978,-0.0002084386671352909,nan,nan,nan,0.01375141723854011,0.007356032001789126,0.001668699608158662,0.0003540520321446416,7.655382438047579e-05,1.792096168072618e-05,4.448820223687242e-06,1.135037750397693e-06,nan,nan,nan
0.0005,0.0828651915078219,492076844,0,150.92606674,6380644,1649481,278162,45210,7351,1251,223,32,6,1,nan,0.08305745146085396,0.01094890682360812,-0.002636576992942279,-0.003548526636700629,-0.002185434389720327,-0.001187499506366514,-0.0006761500618853657,-0.0003633855259707589,-0.0004248065119462617,-0.0001187871511080241,nan,0.01377819684743347,0.007382064885196929,0.001675909107293425,0.0003532078409588134,7.523486269330996e-05,1.717236867925712e-05,4.272041681295071e-06,7.040321119768315e-07,4.394262966518717e-08,0,nan
0.0005,0.08247184488630721,356864886,7770537.722754313,104.164573703,6231014,1612898,273258,43857,7350,1249,209,34,6,nan,nan,0.0829793596903957,0.01093475218849002,-0.002968343547589266,-0.003450372868580655,-0.002176865072223101,-0.001345265208086061,-0.0006115201194713973,-0.0005464619928016425,-0.0003434381838263861,nan,nan,0.01375556131099137,0.007362813163906811,0.00169190974548135,0.0003483693958383195,7.715035507186373e-05,1.772476084308629e-05,4.066960464257458e-06,6.806976187374968e-07,5.065814076414827e-08,nan,nan
0.0005,0.08338557115223484,451452904,25763356.50782165,132.403235201,6963896,1798414,303483,49283,8039,1398,210,48,9,nan,nan,0.08302166296743571,0.01095588826313077,-0.002807151811251312,-0.003503188313777035,-0.002066911270854757,-0.001268315977290133,-0.0007160390312301337,-0.0003412123218563029,0.0001108386479280296,nan,nan,0.01380840857394319,0.007353411828704965,0.001671967319852438,0.0003518291658909184,7.678898555014309e-05,1.827981366167889e-05,3.043715371693182e-06,1.201411925207871e-06,1.679579698465907e-07,nan,nan
0.0005,0.08296867583553828,353610216,16528812.55672927,105.941363414,6174384,1596279,269318,43835,7162,1227,212,33,6,nan,nan,0.08302706194302219,0.0108725157789022,-0.002685030924815432,-0.003341558797043335,-0.002422806473749744,-0.001247894707023664,-0.0004435957537103493,-0.0006968489395855177,-9.316629045804867e-05,nan,nan,0.01378402311129901,0.007354017121977888,0.001682044536684583,0.0003528412390737563,7.513606818548244e-05,1.785666130520138e-05,4.645597266372091e-06,8.274109990795034e-07,1.0775559466253e-07,nan,nan
0.0003,0.08289962353206995,1851931261,133916524.0444758,559.889959534,23381797,6034235,1020438,165186,27413,4625,821,133,20,4,nan,0.08298008891355613,0.01094117479275578,-0.002749912682139989,-0.003349986377147115,-0.002231571156455418,-0.001271709794128752,-0.0007216117021719078,-0.0003358834529753544,-0.0002789118078023875,-8.205320142101562e-05,nan,0.01377395587120078,0.007343209956827176,0.001678800834877275,0.0003539195940816812,7.751434945936419e-05,1.773667746212123e-05,4.420888175848066e-06,9.347143018368152e-07,1.68150476268358e-07,3.928663685293544e-08,nan
0.0003,0.08271892260336854,2253832901,147628379.6029297,688.130347037,26156541,6759649,1139831,184816,30576,5365,904,156,28,5,nan,0.08299939017590341,0.01096525782905257,-0.002758072449598795,-0.003469743161249979,-0.002224694656411438,-0.001242737524699484,-0.0006860363100775782,-0.0004285884227966401,-0.0003284357297772516,-0.0001074171469762707,nan,0.01378161351436581,0.007358658443316596,0.001676953999358626,0.0003529788088265486,7.613321321813233e-05,1.888231979847778e-05,4.142982098107772e-06,1.001836324694412e-06,2.67556902541588e-07,4.330923745244006e-08,nan
0.0003,0.08275346081039367,2354928547,220521182.970471,711.603660401,26022427,6726041,1132171,183693,30312,5152,910,168,25,6,nan,0.08304174449842258,0.01089589721309641,-0.002757492952123222,-0.003450790167348895,-0.002199732620970788,-0.001282737080555022,-0.0006849115045970878,-0.0003595740617164606,-0.0002692746075751572,-0.0001796679062386856,nan,0.01379042662658843,0.007370859669418896,0.001671758134153957,0.0003519542689932168,7.671022346519734e-05,1.77284577715773e-05,4.418506503369891e-06,1.09785138410821e-06,2.087207104872289e-07,6.469355216286323e-08,nan
0.0003,0.08323959598577015,1020382688,95045776.65713245,298.153375819,17523552,4533360,764356,123995,20574,3480,542,93,19,nan,nan,0.08299300291939778,0.01095294307075631,-0.00270485870885637,-0.003491818129226717,-0.002261560531050496,-0.001140895819123061,-0.0006423412186035733,-0.0003305483446635977,-0.000134327252860124,nan,nan,0.01377992668798713,0.007375057466172908,0.001679076673348438,0.0003533575282733835,7.784735890009744e-05,1.792744862089556e-05,3.437708348539783e-06,7.840137812283331e-07,2.230660607670454e-07,nan,nan
0.0003,0.08299401492510616,3233460107,0,997.7565454419999,25837739,6673412,1125075,182845,30274,5125,879,144,25,5,1,0.08302996046588015,0.01098092744750349,-0.002712082913013007,-0.003431095409433051,-0.002289420932658289,-0.001264879929899327,-0.0006633840571095246,-0.0002998676845487347,-0.000145414771592195,-0.0002523836896446627,4.165639962128154e-05,0.01379334257247253,0.007364098157800213,0.001674545432320236,0.0003537600434475071,7.767529761930955e-05,1.766340094538394e-05,4.18956765018537e-06,9.165299257701706e-07,2.010145430726359e-07,1.31548645905796e-08,0
