eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Nl_9,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Yl_9,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8,Vl_9
0.001,0.08340590178700684,37500732,2904214.447258335,1.757238234,1005132,256798,43320,7325,1096,187,26,5,nan,nan,0.08338116138756621,0.01147751217857673,-0.003088410669005861,-0.003795420211989117,-0.002579309678775544,-0.0009474656865253028,-0.0009668397454074852,-7.532578743279575e-05,nan,nan,0.01380545513147574,0.007204473874974082,0.00164137371453563,0.0003724703996684518,6.591813196873348e-05,1.542094597104471e-05,2.412239394199818e-06,6.058663827938171e-07,nan,nan
0.001,0.08340590178700684,37500732,2904214.447258335,1.798798961,1005132,256798,43320,7325,1096,187,26,5,nan,nan,0.08338116138756621,0.01147751217857673,-0.00308841066900586,-0.003795420211989117,-0.002579309678775544,-0.0009474656865253028,-0.0009668397454074852,-7.532578743279575e-05,nan,nan,0.01380545513147574,0.007204473874974082,0.00164137371453563,0.0003724703996684518,6.59181319687335e-05,1.542094597104471e-05,2.412239394199817e-06,6.058663827938171e-07,nan,nan
0.001,0.08340590178700684,37500732,2904214.447258335,1.814570775,1005132,256798,43320,7325,1096,187,26,5,nan,nan,0.08338116138756621,0.01147751217857673,-0.003088410669005861,-0.003795420211989117,-0.002579309678775544,-0.0009474656865253028,-0.0009668397454074852,-7.532578743279575e-05,nan,nan,0.01380545513147574,0.007204473874974082,0.00164137371453563,0.0003724703996684517,6.59181319687335e-05,1.542094597104471e-05,2.412239394199817e-06,6.058663827938171e-07,nan,nan
0.001,0.08340590178700684,37500732,2904214.447258335,1.830742671,1005132,256798,43320,7325,1096,187,26,5,nan,nan,0.08338116138756621,0.01147751217857673,-0.003088410669005861,-0.003795420211989117,-0.002579309678775544,-0.0009474656865253028,-0.0009668397454074852,-7.532578743279575e-05,nan,nan,0.01380545513147574,0.007204473874974082,0.00164137371453563,0.0003724703996684517,6.591813196873348e-05,1.542094597104471e-05,2.412239394199818e-06,6.058663827938171e-07,nan,nan
0.001,0.08340590178700684,37500732,2904214.447258335,1.771293619,1005132,256798,43320,7325,1096,187,26,5,nan,nan,0.08338116138756621,0.01147751217857673,-0.003088410669005861,-0.003795420211989117,-0.002579309678775544,-0.0009474656865253028,-0.0009668397454074852,-7.532578743279575e-05,nan,nan,0.01380545513147574,0.007204473874974082,0.00164137371453563,0.0003724703996684517,6.591813196873348e-05,1.542094597104471e-05,2.412239394199817e-06,6.058663827938171e-07,nan,nan
0.0005,0.08191404742464624,689300486,87780.84123332893,56.426595364,7720942,1993787,336881,56083,8729,1360,225,43,7,2,0.08309116946461997,0.01091647052151564,-0.003049837959591324,-0.003859052486124213,-0.002250572383894677,-0.001244515029915537,-0.0007807829385050468,-0.0002612994989106998,-0.0004750915843503592,-0.0001724406801975348,0.01380320253393053,0.007364268095798672,0.001679560358237141,0.0003725630888288244,7.238717473367463e-05,1.38640166286979e-05,2.973130873849007e-06,8.544675157933385e-07,1.334801185759629e-07,7.153324424353992e-11
0.0005,0.08191404742464627,689300486,87780.84123332893,53.910390007,7720942,1993787,336881,56083,8729,1360,225,43,7,2,0.08309116946462,0.01091647052151564,-0.003049837959591324,-0.003859052486124213,-0.002250572383894677,-0.001244515029915537,-0.0007807829385050468,-0.0002612994989106998,-0.0004750915843503592,-0.0001724406801975348,0.01380320253393053,0.007364268095798672,0.001679560358237141,0.0003725630888288244,7.238717473367463e-05,1.38640166286979e-05,2.973130873849007e-06,8.544675157933385e-07,1.334801185759628e-07,7.153324424353992e-11
0.0005,0.08191404742464624,689300486,87780.84123332893,53.905259778,7720942,1993787,336881,56083,8729,1360,225,43,7,2,0.08309116946461997,0.01091647052151564,-0.003049837959591324,-0.003859052486124214,-0.002250572383894677,-0.001244515029915537,-0.0007807829385050469,-0.0002612994989106998,-0.0004750915843503592,-0.0001724406801975348,0.01380320253393053,0.007364268095798672,0.001679560358237141,0.0003725630888288244,7.238717473367463e-05,1.386401662869791e-05,2.973130873849006e-06,8.544675157933383e-07,1.334801185759629e-07,7.153324424353992e-11
0.0005,0.08191404742464624,689300486,87780.84123332893,53.608304654,7720942,1993787,336881,56083,8729,1360,225,43,7,2,0.08309116946461997,0.01091647052151564,-0.003049837959591324,-0.003859052486124214,-0.002250572383894677,-0.001244515029915537,-0.0007807829385050469,-0.0002612994989106998,-0.0004750915843503592,-0.0001724406801975348,0.01380320253393053,0.007364268095798672,0.001679560358237141,0.0003725630888288244,7.238717473367463e-05,1.38640166286979e-05,2.973130873849006e-06,8.544675157933385e-07,1.334801185759629e-07,7.153324424353992e-11
0.0005,0.08191404742464624,689300486,87780.84123332893,53.887363538,7720942,1993787,336881,56083,8729,1360,225,43,7,2,0.08309116946461997,0.01091647052151564,-0.003049837959591324,-0.003859052486124214,-0.002250572383894677,-0.001244515029915537,-0.0007807829385050468,-0.0002612994989106998,-0.0004750915843503592,-0.0001724406801975348,0.01380320253393053,0.007364268095798672,0.001679560358237141,0.0003725630888288244,7.238717473367463e-05,1.38640166286979e-05,2.973130873849007e-06,8.544675157933385e-07,1.334801185759628e-07,7.153324424353992e-11
