eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Nl_7,Nl_8,Nl_9,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Yl_7,Yl_8,Yl_9,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6,Vl_7,Vl_8,Vl_9
0.001,0.08407004095585437,57866052,1547445.243426431,8.536256486999999,1252196,322172,54528,9060,1400,250,50,9,nan,nan,0.08283615853715497,0.01090343121850294,-0.002690704860607628,-0.003500229774330898,-0.002028103308403468,-0.001015238617519786,-0.0007802340324144412,0.0003449617934726756,nan,nan,0.01376006076157858,0.007323701024590072,0.001681524664996063,0.000363509047494823,6.806929027748303e-05,1.717910546530109e-05,5.129633529897225e-06,3.228222533950067e-07,nan,nan
0.001,0.08516963762650082,21467222,1918981.831588308,3.126298311,768574,197667,33660,5323,932,126,24,nan,nan,nan,0.08309159891585839,0.01147486274388711,-0.002765005140432603,-0.003327943528799272,-0.001712689434513977,-0.001246230790450044,-0.0003449551390487908,nan,nan,nan,0.01382006392700318,0.007308403733115022,0.001692772377476892,0.0003416141794287678,8.244159150784908e-05,1.190669069835433e-05,3.202647978404549e-06,nan,nan,nan
0.001,0.08328762145399672,41821010,942467.00268382,7.614164424,1046362,270551,45701,7450,1261,199,29,6,nan,nan,0.08309460556862416,0.01118365294849952,-0.002937403057765608,-0.003409943221719711,-0.002393221967969117,-0.001296482727932394,-0.0008103538071614432,-0.000143232280578675,nan,nan,0.01377922516359017,0.007326913250316589,0.001682647448170958,0.0003539639831693313,7.954056560105385e-05,1.689015618706735e-05,2.723384598532737e-06,1.966139498953414e-07,nan,nan
0.001,0.08412915891477753,41697796,2189078.190208534,7.104574662,1023124,263670,44167,7266,1177,174,34,6,nan,nan,0.08291374712085765,0.01111349842101393,-0.002394775321361097,-0.003518110416424969,-0.002093043789758112,-0.001642860210935744,6.68986352472e-05,-0.0003161955238613478,nan,nan,0.01374970318077907,0.007335536605203553,0.001644925941838611,0.0003566782230589197,7.397611517608949e-05,1.302607958937406e-05,3.942610995927158e-06,4.56677324915361e-07,nan,nan
0.001,0.08326632148110588,94485405,13087172.82207456,14.033209007,1598333,410356,69754,11257,1867,325,65,21,nan,nan,0.08318159947310697,0.01106198978564144,-0.002987560656891575,-0.003069760771108711,-0.002151584728191642,-0.001381563173170706,-0.001010510040755557,-0.0003762884075243456,nan,nan,0.01380560196631195,0.007281926108178203,0.001677498291988476,0.0003529877175174989,7.724528522322608e-05,1.788522427429302e-05,5.428669068659624e-06,2.730197167841085e-06,nan,nan
0.0005,0.08362196122899092,262061379,32075284.50351226,38.823302332,5367539,1384546,233837,37708,6302,1078,205,46,nan,nan,0.0830058809958268,0.01090063903822478,-0.002600650140508877,-0.003464515022130464,-0.002241158584802165,-0.001238795406480392,-0.000497905464536168,-0.0002415341866026081,nan,nan,0.01381007202361369,0.00735689768785642,0.00167520056229817,0.0003508121688245755,7.86039042545756e-05,1.851888639446631e-05,4.921786743347004e-06,1.67285654624878e-06,nan,nan
0.0005,0.08357440977514578,183398437,15497045.21268679,27.179458156,4466021,1154720,194703,31801,5156,889,146,25,nan,nan,0.08300751218626613,0.01098099535579503,-0.002806647424577655,-0.00342972218006225,-0.00228954823534023,-0.001304403699699269,-0.0004580658481735403,-0.0001257103790624226,nan,nan,0.01378736898115788,0.0073696178005897,0.001676980837360558,0.0003582510090472279,7.470989749024138e-05,1.732079072469878e-05,3.759989949898535e-06,8.08233938773565e-07,nan,nan
0.0005,0.08358189147193018,354018254,13640582.31146027,57.741686777,6197710,1597568,270296,44412,7294,1267,205,33,6,nan,0.08291336387675784,0.01118599276428273,-0.002755176960512698,-0.003338684113254589,-0.002261985453629652,-0.001180808477185233,-0.0006769264035285132,-9.167492204993759e-05,-0.0002122088389497681,nan,0.01376527473927654,0.007330102441087441,0.001681050332505585,0.0003590979320204495,7.828209791509748e-05,1.843613660769602e-05,3.68991576322697e-06,7.157573873914942e-07,8.892647632549863e-08,nan
0.0005,0.08276752263570462,245933967,9804010.092423871,38.557048287,5029247,1304386,219632,35490,5919,1006,154,24,3,nan,0.08297742158840653,0.01092847333223341,-0.002789287248295444,-0.003400085424777035,-0.00232754843016109,-0.001524724715352434,-0.0005047001585948515,-0.0004140548903184772,-0.000177971417435976,nan,0.01375647553823778,0.007406934767646102,0.001680139647717165,0.000348110330879051,7.790370701110362e-05,1.800091001774309e-05,3.249229580598442e-06,3.186422202729565e-07,6.391487192202925e-08,nan
0.0005,0.08336990641983581,536266227,59844447.33359778,85.316322634,7590731,1957077,330264,53771,8759,1572,262,59,11,nan,0.08299025396884514,0.01098213000524181,-0.002749934939257211,-0.003329537358763873,-0.002165003376241626,-0.001468605818296267,-0.0005484163163532789,-0.000273391003268657,-6.758874207024307e-05,nan,0.01377788606748648,0.007328315777870711,0.001673218093899354,0.0003512147238232785,7.441166306918618e-05,1.908497925803149e-05,3.994177945130941e-06,1.463560754691631e-06,3.901413962769467e-07,nan
0.0003,0.08337550627994929,1254527301,42021282.62431047,189.236065774,19521709,5042371,851330,138013,22809,3972,619,134,24,nan,0.08299516443574263,0.01099952789476133,-0.002693366054272435,-0.003375803169442281,-0.002204187590965804,-0.001284310284624744,-0.0006199409742034123,-0.0003844251728334355,-5.715280421257036e-05,nan,0.01377685881663945,0.007358435161544327,0.001674801495827208,0.0003518786313065132,7.758190296061785e-05,1.823465361266337e-05,3.947846704331435e-06,1.359664052116028e-06,9.862113092302476e-08,nan
0.0003,0.08307854302321507,907252440,71588541.35066094,139.20473894,16521256,4273022,719875,116823,19283,3202,546,82,15,nan,0.08304230882848353,0.01097068524680657,-0.002832146319140886,-0.003503755307227107,-0.002214031896140075,-0.001177787417200352,-0.0008134103809165503,-0.0003213904954600723,-7.192923598998887e-05,nan,0.01378719026721203,0.007378257502359669,0.001675792879531629,0.000353171779055657,7.695694821105629e-05,1.690929549727053e-05,3.917472633295312e-06,7.028781085045827e-07,1.680135033538319e-07,nan
0.0003,0.08331096616790187,3083299964,573048792.231056,473.451889363,30026428,7748416,1308511,212192,35149,6086,999,166,30,10,0.0830492029378964,0.01098923560805183,-0.002778402006608119,-0.003451916323074711,-0.002344847670616048,-0.001250806531287739,-0.0006119311164169269,-0.0001955677854205645,-0.0001091083050491351,1.510736042688171e-05,0.01379467352971478,0.007352009677612639,0.001678485325790039,0.0003527603886943086,7.752390236926477e-05,1.86043097333172e-05,3.908013982781771e-06,8.81749288237244e-07,2.076185660081704e-07,1.681133822732568e-07
0.0003,0.08284955120249529,1210668037,140256501.3903222,194.608414117,19102285,4940639,834163,134745,22335,3807,663,113,24,nan,0.0828964684153858,0.01095090625962612,-0.002701737338497834,-0.003467638549557918,-0.002335798588953628,-0.001290081920327211,-0.0006063662709202837,-0.0004029413735157796,-0.0001932594307439763,nan,0.01374661346321669,0.007356398754268377,0.001677181464646988,0.0003507104960080669,7.699068255223415e-05,1.794161157886633e-05,4.354290345678309e-06,9.683163616332389e-07,3.291725983256407e-07,nan
0.0003,0.0830274823020683,3006224539,257876471.8259286,459.419225315,29677683,7664573,1295377,209887,34730,5999,1014,179,40,8,0.083002029791431,0.01105368295914306,-0.002772815438166114,-0.003469751496639403,-0.00225543458359816,-0.001253761233912182,-0.0006633485203366343,-0.0002531366961874965,-0.0002532749357419123,-0.0001067075439238636,0.01378012137803899,0.007347846585341515,0.001680584655103382,0.0003532684065764639,7.748520686788508e-05,1.818888140749211e-05,4.10802958079409e-06,9.890834425390196e-07,3.485547013163538e-07,7.565234666766583e-08
