eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.001,0.08354761274970715,11980066,1030508.184219021,3.26016012,574202,148565,25078,3853,669,119,nan,0.08313611311711641,0.01102403766656362,-0.003031098798696374,-0.003418537812550875,-0.002571131878025471,-0.001591769544700149,nan,0.01375474663396641,0.007397590595577566,0.001676073322152416,0.000338096875671916,7.436146374395138e-05,1.375882111964299e-05,nan
0.001,0.08604728854086943,5881178,773638.1150260074,1.529098248,403178,104286,17718,2839,502,nan,nan,0.08289039170925253,0.01097019653565671,-0.002706150486504117,-0.003360307824896859,-0.001746841392638819,nan,nan,0.01376273697567166,0.007316227815804756,0.001715202561177967,0.000352301091845063,8.263598750544834e-05,nan,nan
0.001,0.08559339335936016,5921264,637080.3189852759,1.567476707,405032,105865,17694,2860,506,nan,nan,0.08298905000023105,0.01068189644089257,-0.003281853435750073,-0.002721050118123009,-0.002074649527890369,nan,nan,0.0138722676836828,0.007501958965755255,0.001691211485040833,0.000353861030112045,6.80495961317321e-05,nan,nan
0.001,0.08455899703460132,12297847,1178427.170272828,3.318711252,580543,149303,25308,4205,680,121,nan,0.08290574206894706,0.0108915880308494,-0.002714830159858977,-0.003278107369536688,-0.002176144226398175,-0.001069251309401308,nan,0.0138007685063666,0.007304829302692412,0.001671356300762386,0.0003689569157036168,7.156692995160015e-05,1.573376018415482e-05,nan
0.001,0.08476195854916548,13444590,1178736.022367019,3.663157022,608238,157032,26835,4431,766,136,nan,0.08312620522357479,0.01113343311882934,-0.0028681723633984,-0.003128396053945557,-0.002507265078955189,-0.0009938462969395249,nan,0.01376011142077632,0.007325223329491077,0.001713633966433271,0.0003597121148190777,8.954107056176311e-05,1.573788382022242e-05,nan
0.001,0.08319572674248739,12101895,1493297.883367338,3.263128039,576951,148994,25149,4022,619,126,nan,0.08293563601787074,0.01112182945110512,-0.002987396259299743,-0.00372558089215434,-0.002505846131025887,-0.001642915444008507,nan,0.01378183939837288,0.007348781711738982,0.001674716231465194,0.0003409241116699667,6.610374802603749e-05,1.993775379005231e-05,nan
0.001,0.08670872760222947,5898538,715465.9167011147,1.522466056,403898,103542,17863,2849,504,nan,nan,0.08318991186985311,0.01163232070601957,-0.002724908031350421,-0.003357968760795245,-0.002030628181497527,nan,nan,0.01385585992967201,0.007298186581796306,0.001713858829545039,0.00035017683129147,7.642233675508594e-05,nan,nan
0.001,0.08435466139264987,12425619,1515210.865548593,3.376427749,586931,150948,25343,4132,675,126,nan,0.0831625875085262,0.01096330713758588,-0.002433463869615026,-0.003686069206126959,-0.002328555743328068,-0.00132314443439216,nan,0.01390490304913752,0.007350571984683009,0.001658391192914647,0.0003529944914040546,7.545468041213936e-05,2.023032478235191e-05,nan
0.001,0.08459918416506812,13086852,1674465.656130574,3.562778753,598156,155759,25978,4215,732,135,nan,0.08304991863506477,0.01106727470519568,-0.002592148349236815,-0.003182420659898032,-0.002503432778510477,-0.001240007387547007,nan,0.01369326560247217,0.007432498760568906,0.001648629157668122,0.0003475957949764112,8.260047232152399e-05,2.235661374309826e-05,nan
0.005,0.09141058603650999,42394,10734.3918618703,0.00915707,7546,1852,313,nan,nan,nan,nan,0.08392957629350131,0.0101571534316943,-0.002676143688685613,nan,nan,nan,nan,0.0147189055837832,0.008152957589414311,0.001838080798265463,nan,nan,nan,nan
0.005,0.09410428581627467,36531,8774.516771083509,0.007874061,6491,1659,262,nan,nan,nan,nan,0.08425657843094216,0.01229126117180426,-0.002443553786471751,nan,nan,nan,nan,0.01440060776347234,0.007521016656505708,0.001502485748473204,nan,nan,nan,nan
0.005,0.0897718236945579,45136,10843.80630364342,0.010098792,6384,1884,370,nan,nan,nan,nan,0.08144976312916938,0.01138734795700362,-0.003065287391615099,nan,nan,nan,nan,0.01285482190217093,0.007547121944837662,0.001856816147884148,nan,nan,nan,nan
0.005,0.08999511389422397,34652,7699.38343840843,0.007463617,6140,1652,239,nan,nan,nan,nan,0.0834004990153004,0.01080910277652205,-0.00421448789759847,nan,nan,nan,nan,0.01368588852591637,0.007680086132620507,0.001318387575069937,nan,nan,nan,nan
0.005,0.08855784648461135,45854,10367.54884189616,0.009886132000000001,8486,1791,360,nan,nan,nan,nan,0.08440522789220851,0.009754581554097348,-0.005601962961694524,nan,nan,nan,nan,0.01474668244797605,0.007804361280964822,0.001775265212653452,nan,nan,nan,nan
0.005,0.0891461342871319,37818,9733.279883341151,0.008211456000000001,6786,1639,280,nan,nan,nan,nan,0.08115796923649,0.01054845335103831,-0.00256028830039641,nan,nan,nan,nan,0.01306037842387474,0.007207831243044706,0.001666657514270745,nan,nan,nan,nan
0.005,0.09300673121853663,36949,8396.588148027175,0.023068638,6293,1680,269,nan,nan,nan,nan,0.08230213868269773,0.01344234024200967,-0.002737747706170774,nan,nan,nan,nan,0.0138764267653046,0.007370309306411232,0.001437771943155338,nan,nan,nan,nan
0.005,0.08901052323200659,43834,10147.07218030536,0.020114796,6314,2322,296,nan,nan,nan,nan,0.0812757303071827,0.01095282673527534,-0.003218033810451448,nan,nan,nan,nan,0.01291260314334058,0.007619493946334579,0.001737512359641329,nan,nan,nan,nan
0.005,0.09376101558124049,46993,8997.883656958715,0.012097295,6505,2189,359,nan,nan,nan,nan,0.08224663411538422,0.01335776532718633,-0.001843383861330053,nan,nan,nan,nan,0.01373428620530667,0.007109504213091522,0.00154073350290389,nan,nan,nan,nan
0.005,0.09172108001107233,39727,9984.730502521081,0.008624356,6815,1770,293,nan,nan,nan,nan,0.08325247241209002,0.01217761179060377,-0.00370900419162146,nan,nan,nan,nan,0.01405542434821514,0.007375520960452932,0.001709714127144021,nan,nan,nan,nan
0.01,0.08473711494822379,11849,2419.944021534147,0.002708954,1705,468,100,nan,nan,nan,nan,0.08341704989498483,0.00750165249622307,-0.006181587442984107,nan,nan,nan,nan,0.01439443481180645,0.00868502606418417,0.001657495905160375,nan,nan,nan,nan
0.01,0.09209497974863663,10482,3097.136277391661,0.002378634,1474,326,100,nan,nan,nan,nan,0.08043722466194848,0.0168029994310165,-0.005145244344328347,nan,nan,nan,nan,0.01190824064154189,0.004703272093821148,0.002121326217391549,nan,nan,nan,nan
0.01,0.08555823755142353,11831,2579.213791620052,0.002618024,1887,443,100,nan,nan,nan,nan,0.08268864301098695,0.002974678716023901,-0.0001050841755873258,nan,nan,nan,nan,0.01427862128395674,0.007741212313843305,0.001766584788780858,nan,nan,nan,nan
0.01,0.09394781647661163,12556,2268.596801242415,0.002819667,1652,563,100,nan,nan,nan,nan,0.08268763338241794,0.01690921378391543,-0.00564903068972174,nan,nan,nan,nan,0.01344977206575191,0.009533426420223914,0.001553833425508504,nan,nan,nan,nan
0.01,0.09128303006246449,10961,2316.37853109805,0.002461377,1585,372,100,nan,nan,nan,nan,0.0808347612713721,0.01515108069961094,-0.00470281190851855,nan,nan,nan,nan,0.0141515361785597,0.006100069604693654,0.00158656063773839,nan,nan,nan,nan
0.01,0.08062116279271526,11072,2061.944187488829,0.002588571,1496,397,100,nan,nan,nan,nan,0.08135102638979144,0.00172034492628304,-0.002450208523359209,nan,nan,nan,nan,0.01282447428382193,0.007275314306961862,0.001412290539375911,nan,nan,nan,nan
0.01,0.1018659289458373,11244,2965.721223434943,0.002652172,1732,389,100,nan,nan,nan,nan,0.0845310487609927,0.01573592375925815,0.001598956425586446,nan,nan,nan,nan,0.01526839572848626,0.005842682802973035,0.00203131590646229,nan,nan,nan,nan
