eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4
0.01,0.4936644432148602,661365,99718.22045583672,0.994738995,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.996612557,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.996036703,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.996125162,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.997255829,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.994682435,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.994554817,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.994211877,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.994021095,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.01,0.4936644432148602,661365,99718.22045583672,0.995701135,93949,18279,2725,482,nan,0.5752972686284835,-0.05978376718950341,-0.0190119763233428,-0.002837081900777126,nan,0.6665993205711752,0.2017729834115871,0.03498373285276273,0.00852292482528519,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.08675165,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.086804512,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.086795625,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.110467415,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.086774029,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.086700187,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.086783716,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.08686284,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.086901835,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.02,0.5003800388297484,57826,10049.37465187524,0.086727918,13802,2647,357,nan,nan,0.5731091348661631,-0.06016346990210583,-0.01256562613430885,nan,nan,0.6585683356812145,0.1944914254735084,0.02753253329280887,nan,nan
0.05,0.4684332837935381,11595,1379.969831024528,0.0177976,2195,375,100,nan,nan,0.5543981709024571,-0.06748398858433804,-0.01848089852458104,nan,nan,0.6457884894444503,0.1578892181918327,0.02362962039425563,nan,nan
0.05,0.4684332837935381,11595,1379.969831024528,0.017459746,2195,375,100,nan,nan,0.5543981709024571,-0.06748398858433804,-0.01848089852458104,nan,nan,0.6457884894444503,0.1578892181918327,0.02362962039425563,nan,nan
