eps,mlmc_estimate,mlmc_cost,std_mc_cost,mlmc_wall_time,Nl_0,Nl_1,Nl_2,Nl_3,Nl_4,Nl_5,Nl_6,Yl_0,Yl_1,Yl_2,Yl_3,Yl_4,Yl_5,Yl_6,Vl_0,Vl_1,Vl_2,Vl_3,Vl_4,Vl_5,Vl_6
0.001,0.08590399243531736,5875119,736002.2377081939,0.8113581520000001,403967,103950,17357,2852,505,nan,nan,0.08333394792279487,0.01084797066025389,-0.003015319348694699,-0.003556290306171747,-0.001706316492864951,nan,nan,0.0140236326964517,0.007399569922013833,0.001646727630636526,0.0003535429853421758,7.861591943048429e-05,nan,nan
0.001,0.0838028966740713,12194704,1249927.920352518,1.679161627,579288,150167,25440,4072,676,120,nan,0.08282472287997296,0.01077858510863487,-0.002762391316680083,-0.003454423642406759,-0.002380651941411569,-0.001202944414038113,nan,0.01371363484591388,0.007382868656983748,0.001669322109000028,0.0003348266216335947,7.683719572926912e-05,1.668840183119066e-05,nan
0.001,0.08534670236032214,12745008,1566729.033977409,1.757493728,591752,152485,26138,4263,696,129,nan,0.08308703545807083,0.01152195514231959,-0.002976884377383523,-0.003274660789923897,-0.001861589389825865,-0.001149153682935002,nan,0.01377320123208271,0.007315090533601792,0.001714383799532349,0.0003652578207267829,7.707436335335568e-05,2.091816916309392e-05,nan
0.001,0.08588754966853546,12963891,1270241.847814581,1.812227444,595995,154531,26124,4172,740,131,nan,0.08326991405235923,0.01096646084600924,-0.002583626592623548,-0.002800276335619088,-0.002303143635470236,-0.0006617786661201264,nan,0.01375060223406396,0.007425488810165379,0.001690413228447836,0.0003438151656479329,8.253779158394089e-05,1.695962305822026e-05,nan
0.001,0.08378089032742701,12485201,1243217.53694455,1.719300743,587537,150296,25586,4163,699,124,nan,0.08281551912664357,0.01118673824804342,-0.003066082265721937,-0.00294531551728182,-0.002906773251033744,-0.001303196013222473,nan,0.01377100362204092,0.007294065987098176,0.001668099513790983,0.000363741574536445,8.238763059369606e-05,1.659880820508625e-05,nan
0.001,0.08615922866087647,5865595,692970.7146115211,0.779971525,399899,104292,17109,2859,506,nan,nan,0.08294315528566054,0.01105549899504361,-0.002276082478475516,-0.003643518998210617,-0.00191982414314153,nan,nan,0.01366467065009094,0.007393556267482625,0.001638034882322492,0.0003594937601500116,7.401951662161089e-05,nan,nan
0.001,0.08456094783595983,12346892,1529687.510890032,1.778455459,583316,150447,25672,4008,676,125,nan,0.08330504013322554,0.01098593052909782,-0.002583331992773448,-0.003332495457126346,-0.002476280583353808,-0.001337914793109947,nan,0.01382980295334156,0.007359403051262547,0.001710119305237783,0.0003327896082789582,7.580601158656847e-05,2.042360958757285e-05,nan
0.001,0.08543130427444728,5776366,718406.9533136549,0.767421044,398414,103308,17061,2797,495,nan,nan,0.08278891902037008,0.01080184974317351,-0.002568556893677088,-0.003791523763932839,-0.001799383831486384,nan,nan,0.01378291855227236,0.007421959951696892,0.001627230454030984,0.0003434203734976923,7.673648294313768e-05,nan,nan
0.001,0.0833579905142597,12284089,1474733.087168002,1.691809004,579713,150543,25263,4198,668,122,nan,0.0829174393074387,0.01095895629552227,-0.002694578636248534,-0.004002641248343081,-0.002255693196653681,-0.00156549200745598,nan,0.01375005108124767,0.007420877336932067,0.001671120626310411,0.000368786320896321,7.233816463824624e-05,1.968988607396729e-05,nan
0.001,0.08549576590892108,6023591,719712.8777791776,0.803182417,407831,105498,17967,2930,518,nan,nan,0.08297434709871014,0.01085248325788994,-0.003284040574214581,-0.003831037550285509,-0.00121598632317892,nan,nan,0.01382652273002934,0.007357134064243008,0.00172220127981822,0.0003628329965498739,7.687597498175364e-05,nan,nan
0.005,0.08811092744197276,42201,10256.39850407988,0.005029199,6705,1965,309,nan,nan,nan,nan,0.08447080257848463,0.009845625044477262,-0.006205500180989146,nan,nan,nan,nan,0.01309544927089912,0.008350958015358685,0.001756232620561623,nan,nan,nan,nan
0.005,0.08913272833990082,37970,10236.58011516223,0.00456742,6226,1656,289,nan,nan,nan,nan,0.08039773703497667,0.01423165859753684,-0.005496667292612683,nan,nan,nan,nan,0.012375362724882,0.007218254672010004,0.001752839060815451,nan,nan,nan,nan
0.005,0.08746873898493356,38522,9525.873498406962,0.004565828,6130,1841,276,nan,nan,nan,nan,0.08136045963628301,0.009395914782182524,-0.003287635433531969,nan,nan,nan,nan,0.01267538020946581,0.007461032251910179,0.001631142722329959,nan,nan,nan,nan
0.005,0.09220168896003525,41716,11534.91631786975,0.004855374,7060,1740,324,nan,nan,nan,nan,0.0852771941491979,0.01044364654143637,-0.003519151730599017,nan,nan,nan,nan,0.01400526072600921,0.007176953413692903,0.00197515690374482,nan,nan,nan,nan
0.005,0.08983968718682472,43200,11398.76170428937,0.004990396,8504,1785,319,nan,nan,nan,nan,0.08376873891999864,0.01038529786653651,-0.004314349599710425,nan,nan,nan,nan,0.0141863880440731,0.007654144911814821,0.001951842757583797,nan,nan,nan,nan
0.005,0.0936138076620306,35916,8558.563995110999,0.004153057,6260,1651,257,nan,nan,nan,nan,0.08148389561342201,0.01295608644261719,-0.0008261743940085936,nan,nan,nan,nan,0.01346273244504438,0.007315249756233886,0.001465507533409418,nan,nan,nan,nan
0.005,0.08780031768700879,37754,9061.109094893749,0.004338922,7346,1649,269,nan,nan,nan,nan,0.08031364132193265,0.01140197304288869,-0.003915296677812561,nan,nan,nan,nan,0.01274672738972618,0.007383890636722791,0.001551559776522902,nan,nan,nan,nan
0.005,0.09274898716956775,39202,9188.677650214921,0.00454236,6914,1820,277,nan,nan,nan,nan,0.0824287346112899,0.01088408032347617,-0.0005638277651983113,nan,nan,nan,nan,0.01388293454453619,0.008393992783661416,0.001573403707228582,nan,nan,nan,nan
0.005,0.09083706219796114,33952,8224.602774122466,0.003928781,6096,1506,247,nan,nan,nan,nan,0.08271755982349634,0.01176987281028079,-0.003650370435815974,nan,nan,nan,nan,0.01375536614293571,0.006713739615119895,0.001408322392829189,nan,nan,nan,nan
0.005,0.094803368982779,42586,7443.876459132091,0.005003434,6514,2269,280,nan,nan,nan,nan,0.08680080987742836,0.00457170433023827,0.003430854775112368,nan,nan,nan,nan,0.01443061823776707,0.007427933563445742,0.001274636379988372,nan,nan,nan,nan
