Pf,Pc
5.752931757919484829e-02,5.458070059346068620e-02
3.877129753086827266e-03,3.468553524669437324e-03
1.148842106010019293e-01,1.373473308051582353e-01
2.657558440603234873e-01,2.750056701591567787e-01
1.306062988086853782e-01,1.375723737285740600e-01
4.498558082089577914e-02,4.433490779329816306e-02
7.739794877944907239e-04,7.943443770265661051e-04
2.095690297523378209e-02,1.839164298196372532e-02
4.917846396060167324e-02,4.662194187039954418e-02
6.299729375305117285e-03,4.323908266660876111e-03
5.567577479825067815e-02,5.720532342258593389e-02
1.086660145513256709e-01,1.159027769595048496e-01
1.846036443262948426e-02,2.377001876618855744e-02
3.177227516556949821e-02,2.868128065313236413e-02
3.596710504362274352e-01,3.511141535878045117e-01
1.331793910303307512e-03,1.609554081591851784e-03
8.401404487397970411e-02,9.433861170756772940e-02
3.252784725812643551e-01,3.139300706477101688e-01
1.188107739496579718e-01,1.061328670031501248e-01
1.355171832179261938e-02,1.031211141160023013e-02
9.715910016126039217e-02,9.146668078063584228e-02
6.403177920109737013e-03,4.916761744513586593e-03
1.145113190093638211e+00,1.175759028755074320e+00
2.885467219803927730e-01,2.704032961255316558e-01
5.799248514963517565e-02,5.957833940127243988e-02
4.337242226007488599e-02,4.117506148148541989e-02
1.498258321531552029e-01,1.521450498501222826e-01
5.136595065845591009e-04,9.599932543389513981e-04
4.434597850711956557e-01,4.404460586272095357e-01
5.014790352866855816e-01,5.110491838603044013e-01
5.242304151724846983e-01,5.075188145574520693e-01
2.326902437542764657e-02,2.452279023820964909e-02
6.728475454640654441e-01,6.814181369834020341e-01
6.019409252078027593e-04,2.275798697008807759e-03
3.634942919794535710e-02,3.673706651362729919e-02
4.750378184589557594e-04,1.342305944498231162e-03
1.048879334409730333e-03,2.345835775156872392e-03
3.249614961710873412e-02,3.885564272764301108e-02
2.262818328267124715e-02,2.203703882154204111e-02
9.153375229884385886e-04,2.555407157812236902e-04
1.243686606134000033e-01,1.337600529080804623e-01
8.705093346662886450e-03,8.988510759369943565e-03
1.804673151837168834e-03,7.980785483711193718e-04
2.050728262646824562e-01,1.973683574167501564e-01
3.509925542246056795e-01,3.449037643018326160e-01
2.985911533390757291e-03,2.323829287886546979e-03
2.716781096781468660e-02,3.361990364032500095e-02
7.703730881913932287e-03,8.007074049159826692e-03
3.600014017919354187e-02,4.170344110068973514e-02
7.393240386943387976e-02,7.824526763560567255e-02
4.794869914798222804e-02,5.482073950120749939e-02
1.356623823053640029e-02,1.293150817241212752e-02
6.451876916176964294e-02,6.127323345366837010e-02
8.062033077572590412e-04,1.249242047313417307e-03
4.767398480478034495e-01,4.536134066184258629e-01
2.686292417492594162e-02,3.302830287773573376e-02
3.210550076559367527e-01,3.181740615026337760e-01
1.131139909065263360e-03,2.712393258912647624e-04
1.310939254037845891e-01,1.421522131059288208e-01
3.898429507638193330e-03,3.596349551680413578e-03
2.726522603786443472e-03,2.047181591536935668e-03
4.574236977716661379e-02,5.176727241597436219e-02
1.377220876862872700e-01,1.565097789245377680e-01
4.430425513397282522e-01,4.632277333915615358e-01
3.454822955091716996e-01,3.372529861848493349e-01
8.413159259448693694e-02,8.889411770524710543e-02
3.418680590161110632e-04,4.248918558709174811e-04
1.798196674196457512e-02,1.801343266504869603e-02
2.725828366192394395e-02,2.681451041326580326e-02
1.039379796939308570e-01,1.149151681627499644e-01
1.146459347720409777e-01,1.080243547290691275e-01
4.786301695145719348e-01,4.538930673457945986e-01
1.989363498812221631e-01,2.104946148915694815e-01
4.325536221594907804e-01,4.318919814041650151e-01
1.594586030256429920e-01,1.556067643882401430e-01
2.482125735419879413e-07,4.306441706967986476e-05
7.943259826733551450e-04,5.459241747436861412e-04
1.586436540040728760e-01,1.623857783597165982e-01
1.716707966262862387e-02,1.211558805314729564e-02
1.686441538904873139e-01,1.602683315358089389e-01
3.318193548332924302e-03,3.159738731523855856e-03
2.058977472132539899e-01,2.172428482674259032e-01
2.990519498329906045e-01,3.165677508848123156e-01
1.722530876891599227e-01,1.684072847720612387e-01
8.578866969304743337e-03,7.375128666726481208e-03
3.923955448738043056e-03,4.861905583629979981e-03
8.686917354111615627e-03,9.803194264300103822e-03
8.457283317944450894e-07,9.700621198923196407e-06
8.772546705075190063e-03,9.439707403266914959e-03
1.235103370454455375e-02,7.938263948057610805e-03
7.652189062392907026e-02,7.450557464895113391e-02
5.139929901635671705e-02,4.515171370413955526e-02
7.888692754548998209e-02,8.315240606250311195e-02
1.228450658594393285e-04,2.041026826268464115e-04
5.521870703426607491e-02,5.580924447175045905e-02
1.822126186672198833e-02,2.158376014785158906e-02
2.047844493741241033e-05,1.113437678663375930e-04
1.445629594496440455e-02,1.325505487231232876e-02
3.190812427595367327e-04,1.199028159023285500e-05
2.638440328922441735e-01,2.547346518079047217e-01
3.719078086885045501e-04,2.090029005842190856e-04
3.043919046830891241e-08,1.955800818855017102e-04
1.835270699763858204e-01,2.021162242192175162e-01
4.794871432440685893e-02,4.722076904359585187e-02
3.651321869885600924e-01,3.506572086735950111e-01
4.135619830881572673e-02,4.135293043668197138e-02
