Pf,Pc
6.134609809355710125e-02,6.150180264204827690e-02
1.343521361916463486e-01,1.344050578119707906e-01
1.661295116770876781e-02,1.651580201805188941e-02
2.124790149671223483e-01,2.120680502936616862e-01
2.382592325974012409e-02,2.377129512624589699e-02
7.545487151427534567e-01,7.552455036150633738e-01
1.183595011222091653e-01,1.183261989777257550e-01
1.540513022514706232e-01,1.537840866346588120e-01
1.259787665662693013e-01,1.259792600051639344e-01
3.998828556007961998e-02,3.992883114243967607e-02
7.708648775475093751e-02,7.692919746026334604e-02
2.663780950594540203e-02,2.659377233600752899e-02
1.047677563889184982e-02,1.048104184043493863e-02
4.317730119615690275e-03,4.288278158440544073e-03
4.914754743922615521e-02,4.929448637610817779e-02
2.446332994813317854e-02,2.441440764441780639e-02
4.037833500989112395e-02,4.040951597287563424e-02
2.310325108477805783e-02,2.318299543030767629e-02
2.505939286609631250e-02,2.506188086555447350e-02
4.074066621867720311e-02,4.081235517474020302e-02
4.281337605518618222e-02,4.285857535351964703e-02
4.284594912383236920e-02,4.303636734550275039e-02
3.077349396203246049e-03,3.065187107022009343e-03
8.611472678380922841e-02,8.633083685059472767e-02
2.583270577730652218e-02,2.587231043676363473e-02
6.271069918889057848e-02,6.290917855004340975e-02
2.159319311787401552e-01,2.160600839856939848e-01
1.342989022582510572e-01,1.344331613579685114e-01
2.319330639899172541e-02,2.315339848373795459e-02
3.386871912903483689e-02,3.398696936015266346e-02
1.110305585852330856e-02,1.109483435976158644e-02
2.160325431925071149e-01,2.162237302331286581e-01
3.738369718876712738e-02,3.756200601780858295e-02
1.027655978721773999e-01,1.028443490307399399e-01
1.280618400592149764e-02,1.284383439767636768e-02
1.073650531183307916e-01,1.073351878697621081e-01
7.372657300832823188e-04,7.204133944503719311e-04
1.611694608097795078e-01,1.613795993985227550e-01
5.395743742099258500e-02,5.413253851402922284e-02
5.937266399377141152e-02,5.921796436040644568e-02
3.648932757703250013e-02,3.642882530747412750e-02
5.757100108047991105e-02,5.740797073315601767e-02
2.462395020796097345e-02,2.459098280704837686e-02
2.318759400522789893e-01,2.314828466733941936e-01
2.984492939539107881e-01,2.985025882803528097e-01
8.949258894058899350e-02,8.949394068883206876e-02
4.471710643206204538e-02,4.469018847764491542e-02
4.956223527440706614e-03,4.941716397685956726e-03
5.275419741300002574e-02,5.279097781441073611e-02
2.220673002926899092e-02,2.221753946957580328e-02
2.145813715197012611e-03,2.166242075287508513e-03
3.456016635161052175e-02,3.449918102757601468e-02
4.314932667211273526e-02,4.313982918412028605e-02
1.745762128079758890e-01,1.742794073087202411e-01
2.385969800684675443e-02,2.390449045358824728e-02
2.467244313203909301e-01,2.465553964384437358e-01
1.521822804833677760e-02,1.519567087563774427e-02
6.912404412846373525e-02,6.905636978518869817e-02
9.613717091828570538e-02,9.579688106110205437e-02
1.239679971519922624e-01,1.241733024671194396e-01
2.881511100333672415e-01,2.880761611664217070e-01
2.259877387942082344e-02,2.267258915145673598e-02
1.064775894228062181e-02,1.060680701097545774e-02
6.279717570352598699e-01,6.278073444709619810e-01
5.766829400185757154e-02,5.769924065180586509e-02
2.561486193770765585e-01,2.563932487315390141e-01
1.362210960114492164e-01,1.364746794546166375e-01
2.706002988919138739e-03,2.663747194893610962e-03
1.830547228187143303e-03,1.857218930925166270e-03
2.935370259742116350e-03,2.886379379941839390e-03
1.834959311875044351e-05,2.079777856553048765e-05
2.922303133324787201e-03,2.949255882355335950e-03
1.094730781715886822e-02,1.096305930660664875e-02
2.556147804404638180e-01,2.560640789670357576e-01
4.006227280284530186e-03,4.012006567370158053e-03
2.158405029722858248e-03,2.157135805060128933e-03
1.365180089000947103e-02,1.367906621192754683e-02
4.033989652897434879e-03,4.003839980253700616e-03
4.701384764112048233e-03,4.688171391017148873e-03
7.099833593763200945e-02,7.145881825862877845e-02
3.826769085602101800e-02,3.847749687448022426e-02
3.801665791823128412e-03,3.742996241754133376e-03
2.748215691395796689e-01,2.749690578495110893e-01
1.915729242725650594e-01,1.916205741344250146e-01
1.674046227175804771e-02,1.667427847736582813e-02
2.004528291615819758e-04,1.913585431499499362e-04
3.695969120072978287e-01,3.700563201626750898e-01
7.255940576901984129e-02,7.254900952032633521e-02
3.597752589866580475e-02,3.607664876563776435e-02
3.027586225193005728e-02,3.040989588647112496e-02
