Pf,Pc
5.794713701814208778e-02,5.642620438342621503e-02
4.965544037916317932e-01,4.752267228944939692e-01
1.378839444056175756e-01,1.262334796919462321e-01
2.166346580695048263e-01,1.928841939967913810e-01
7.550046424147140189e-06,1.083651902500420625e-04
1.255907361598985464e-03,2.931063153480378825e-03
1.891535030087723376e-02,2.565909437006999930e-02
4.238148157740534439e-02,4.230465233320860469e-02
4.702125747313152387e-02,5.607739137035429311e-02
6.314811394174108103e-04,5.340638190065519349e-05
7.473013597647375737e-03,8.416159569525712494e-03
3.193640539624575253e-02,2.758125861935601872e-02
1.358565045220399593e-02,1.029878094434180484e-02
3.980692942670969181e-01,3.627814660224853438e-01
6.851689447911152309e-02,5.607673289837496883e-02
1.390859071691508131e-01,1.600554486268712107e-01
1.276593773301866290e-02,1.129797217499922679e-02
1.883594427625691903e-01,2.006390328495112063e-01
3.595309030436262265e-01,3.305356931614755189e-01
9.678617410420516098e-02,8.002383466369776543e-02
3.891598004350775401e-03,2.516758359124130623e-03
9.327835278496576787e-02,8.530964275787558670e-02
4.171598267423962808e-02,4.361544820943780154e-02
5.528535544989342243e-02,5.550853457548603209e-02
9.115061533725654641e-03,1.594407514684041682e-02
1.822446111406101077e-01,1.738399108235618440e-01
2.051261993530628658e-02,2.197449749641266353e-02
1.979222703596867500e-02,1.200317152234584885e-02
2.694140974631907201e-02,3.139380672206175393e-02
3.197421262559858174e-02,2.869425838195245604e-02
1.384121032244034358e-03,1.339375611613353133e-03
2.291992463245731346e-03,4.628297626267974946e-03
1.752205137021584092e-01,1.884838476072243918e-01
6.865131949661784638e-02,5.609281827797794190e-02
3.679924512500056671e-02,3.504470147096065691e-02
1.876399969328897688e-01,1.852466560788486316e-01
5.409808075301592023e-02,7.067507196057323804e-02
8.998248218694221423e-01,8.986890728663792238e-01
4.996096515643473346e-01,4.803744588283053174e-01
6.168781197091111523e-05,1.017464247415039155e-04
1.768470819747875117e-03,2.209106776857086216e-03
1.903381536986285538e-01,1.784517388225429213e-01
1.200247418331750436e-02,1.268536763210113133e-02
3.262455633136399080e-01,3.766939657992179336e-01
3.098567930512911503e-02,4.299252791213337144e-02
4.038920168256875977e-03,1.082073810457930343e-02
1.350337049952591573e-01,1.180580564764772550e-01
1.644231962207127681e-02,1.190187764264368474e-02
4.080178870498971100e-02,3.867880896481370318e-02
4.517357213181229236e-03,1.895991904550815193e-03
2.682468585008388438e-03,7.155995614019910502e-03
1.119223667547384243e-06,3.320804469292364905e-05
1.774638446740592623e-01,1.668843202304823581e-01
1.738679016364972907e-01,1.578267152127232065e-01
4.741609779907803718e-02,4.661073063012770301e-02
6.226119923820036539e-02,5.970953436342604087e-02
9.108996169000495519e-04,6.252864441239281345e-05
4.711802032728020645e-02,5.466963979854885802e-02
1.299699728295016822e-02,1.856614678498160614e-02
2.725514648233416659e-02,2.482995734803402840e-02
2.069842153353675385e-01,2.407149346521247901e-01
1.040847695737294604e-01,9.304877576254808047e-02
3.255582872756017654e-01,3.092208875271196811e-01
2.221134472908436325e-02,1.796425349257051510e-02
1.798502504050305817e-01,1.912066526226117447e-01
1.985178785425631698e-01,1.800752906728130820e-01
4.847206983151007564e-02,4.248744748146253414e-02
3.020805591496938947e-02,1.879070232049390859e-02
2.069676509956298524e-02,2.458395206386580767e-02
8.713766187603763647e-02,8.239546250192293642e-02
8.348651133948603587e-02,8.564628855856316891e-02
3.288550517373692306e-02,5.009389814468300645e-02
1.086550087112518777e-02,6.348788784470124451e-03
7.872448837223437745e-02,8.334997684903167059e-02
1.102923718487442695e-01,1.256882622149035900e-01
1.305266277127185015e-01,1.352867086139959152e-01
2.390492137396125760e-01,2.205593546778686909e-01
5.458943512627347783e-01,5.682625665664327030e-01
4.964011302377814572e-02,3.456274647944931194e-02
1.788674466625943477e-03,2.089936498244009989e-03
1.787280567638438455e-01,1.993067261999838247e-01
1.932678135000795161e-01,2.067715590338158604e-01
1.549004920126932638e-03,3.417521266248823523e-03
1.062295835577539357e-02,7.159363449428389654e-03
5.012447932876411272e-03,5.738158866331596886e-03
1.554286633815932517e-01,1.636221519796122736e-01
7.599063039507639172e-02,6.775213091904043472e-02
3.863131981245749441e-02,4.466662933917625589e-02
1.204143364522776774e-02,1.875252952864662342e-02
7.094070109325012474e-02,6.618239975102216399e-02
1.561236321095059720e-01,1.703647278302480028e-01
2.173115594790816715e-02,1.187938177870091067e-02
1.566903456008484076e-05,3.529185146638752360e-04
9.028549188270541814e-03,4.643916149489597453e-03
1.196410829259357128e-01,1.427336685681937223e-01
2.157111233617722140e-02,4.343914576554766538e-02
6.254704366176272456e-01,5.788310516663659477e-01
1.546079804893450149e-01,1.714421981152407792e-01
7.657808760750059733e-05,9.272533503744265822e-04
1.341545135519608689e-01,1.223501323733781065e-01
8.569480543887941781e-01,8.356692392265413494e-01
7.629071238607729177e-02,7.527060537405462493e-02
3.129300067713738811e-04,1.350551300400692079e-04
1.513910166132211854e-01,1.597094767007743443e-01
1.892661956601372555e-05,2.558051535051426872e-04
1.394852130990513472e-01,1.550810879975847156e-01
1.145564778863407754e-02,1.127828169453794563e-02
3.727557805334580756e-04,7.896022025458678071e-04
1.402817195694940587e-02,2.318263067822727563e-02
1.624513617399341893e-03,3.857675694644998286e-03
2.074628348619519946e-01,2.207375372266274782e-01
2.219238966152335402e-01,2.264626638639087586e-01
3.035923707942254565e-03,1.159764835006383052e-04
6.752552731998881508e-02,7.937065858002444185e-02
7.952024220947793293e-03,1.105379173741146206e-02
1.706868229400041459e-01,2.059088720266231409e-01
9.267280194591077935e-02,8.605149490319578820e-02
2.687537293268448257e-01,2.508573581010170028e-01
6.709535291500809146e-04,3.706016362683426713e-04
6.502220860442335659e-02,6.773906864626551283e-02
2.981325225859591740e-02,3.570663762181548045e-02
1.693090207815251078e-03,1.179936643333430934e-03
4.357109011926291881e-02,3.668795524835723881e-02
8.776438017219700613e-03,1.593943843534595048e-02
9.358382405528527584e-03,7.184454069608671965e-03
4.310752234021540154e-03,2.577347808424384091e-03
9.554138318029460619e-03,8.129040756558011255e-03
4.739181260114221778e-02,3.477391730462771335e-02
